species,sci_name,mass,trophic_niche1,trophic_niche2,Breeding.Biome,start_abd,end_abd,abd_change,biomass_start,biomass_end,biomass_change
Blackpoll Warbler,Setophaga striata,11.8,Invertivore,Insessorial,Boreal Forest,353344248.41118,50684928.1853502,-302659320.22582984,4169462131.2519245,598082152.5871325,-3571379978.664792
Blue Grosbeak,Passerina caerulea,27.4,Invertivore,Generalist,Forest Generalist,15205913.7883821,22360004.0721074,7154090.283725301,416642037.80166954,612664111.5757427,196022073.77407318
Blue Jay,Cyanocitta cristata,88,Omnivore,Terrestrial,Eastern Forest,22275767.1228443,16875978.2227042,-5399788.900140103,1960267506.8102984,1485086083.5979695,-475181423.2123289
Blue-gray Gnatcatcher,Polioptila caerulea,5.8,Invertivore,Insessorial,Habitat Generalist,199595491.707111,231193567.322607,31598075.61549601,1157653851.9012437,1340922690.4711206,183268838.5698769
Blue-headed Vireo,Vireo solitarius,15.3,Invertivore,Insessorial,Boreal Forest,3890572.6370449,15339117.6096692,11448544.972624298,59525761.346786976,234688499.42793876,175162738.08115178
Blue-winged Teal,Spatula discors,359.4,Herbivore aquatic,Aquatic,Wetland,4448705.0454537,7805561.01512622,3356855.9696725197,1598864593.3360598,2805318628.8363633,1206454035.5003035
Blue-winged Warbler,Vermivora cyanoptera,8.9,Invertivore,Insessorial,Eastern Forest,1018588.2451246,638694.786783393,-379893.458341207,9065435.38160894,5684383.602372198,-3381051.7792367423
Boat-tailed Grackle,Quiscalus major,151.2,Omnivore,Terrestrial,Wetland,3042208.61056325,2082199.93514687,-960008.6754163797,459981941.9171633,314828630.1942067,-145153311.7229566
Bobolink,Dolichonyx oryzivorus,31.5,Granivore,Generalist,Grassland,25007558.0367879,9303438.65158509,-15704119.38520281,787738078.1588188,293058317.52493036,-494679760.6338885
Bohemian Waxwing,Bombycilla garrulus,54.4,Omnivore,Insessorial,Boreal Forest,4893931.46764941,2117907.32484035,-2776024.1428090595,266229871.8401279,115214158.47131504,-151015713.36881286
Bonaparte's Gull,Chroicocephalus philadelphia,210.7,Omnivore,Aerial,Wetland,883058.276588525,798186.874475201,-84871.40211332403,186060378.8772022,168177974.45192483,-17882404.425277382
Boreal Chickadee,Poecile hudsonicus,9.8,Invertivore,Insessorial,Boreal Forest,14712867.3517139,13307514.2199468,-1405353.1317670997,144186100.04679623,130413639.35547864,-13772460.691317588
Brandt's Cormorant,Urile pelagicus,2247.5,Aquatic predator,Aquatic,Coasts,68543.5366281216,388538.183340846,319994.64671272435,154051598.57170328,873239567.0585513,719187968.486848
Brant,Branta bernicla,1277.9,Herbivore terrestrial,Terrestrial,Arctic Tundra,673899.714901847,382957.979744131,-290941.735157716,861176445.6730703,489382002.31502503,-371794443.3580453
Brewer's Blackbird,Euphagus cyanocephalus,62.5,Omnivore,Terrestrial,Habitat Generalist,54835787.3766582,20899810.417673,-33935976.9589852,3427236711.0411377,1306238151.1045625,-2120998559.9365752
Brewer's Sparrow,Spizella breweri,10.9,Omnivore,Generalist,Aridlands,26112512.6800183,15591685.0775042,-10520827.602514097,284626388.21219945,169949367.3447958,-114677020.86740366
Bridled Titmouse,Baeolophus wollweberi,10.4,Invertivore,Insessorial,Western Forest,77672.1803185336,80268.0481437523,2595.8678252186946,807790.6753127495,834787.7006950239,26997.025382274413
Broad-tailed Hummingbird,Selasphorus platycercus,3.5,Nectarivore,Aerial,Western Forest,17088360.6479553,7977483.85117823,-9110876.79677707,59809262.267843544,27921193.479123805,-31888068.78871974
Broad-winged Hawk,Buteo platypterus,453.7,Vertivore,Insessorial,Forest Generalist,1314818.89864733,1923175.38709293,608356.4884456,596533334.3162936,872544673.1240623,276011338.8077687
Bronzed Cowbird,Molothrus aeneus,62.6,Granivore,Terrestrial,Aridlands,739021.324502692,850596.575165465,111575.25066277303,46262734.91386852,53247345.60535811,6984610.691489592
Brown Creeper,Certhia americana,8.1,Invertivore,Insessorial,Forest Generalist,7509481.74919971,10023077.6510342,2513595.9018344907,60826802.16851765,81186928.97337702,20360126.80485937
Brown Pelican,Pelecanus occidentalis,3427.8,Aquatic predator,Aerial,Coasts,47508.1762519937,184933.338824218,137425.1625722243,162848526.556584,633914498.8216544,471065972.26507044
Brown Thrasher,Toxostoma rufum,68.8,Omnivore,Generalist,Eastern Forest,9525206.79619124,5909378.87857804,-3615827.9176132,655334227.5779573,406565266.8461691,-248768960.73178816
Brown-crested Flycatcher,Myiarchus tyrannulus,35.5,Invertivore,Insessorial,Aridlands,252031.440772187,1306455.54442582,1054424.103653633,8947116.14741264,46379171.82711661,37432055.679703966
Brown-headed Cowbird,Molothrus ater,40.3,Invertivore,Terrestrial,Habitat Generalist,165809274.782974,124836522.33639,-40972752.446584,6682113773.753852,5030911850.156517,-1651201923.5973349
Brown-headed Nuthatch,Sitta pusilla,10.2,Invertivore,Insessorial,Eastern Forest,1872528.24180403,1587253.50915285,-285274.7326511801,19099788.066401105,16189985.793359067,-2909802.273042038
Buff-breasted Sandpiper,Calidris subruficollis,62.1,Omnivore,Terrestrial,Arctic Tundra,37251.8303089602,59335.670700224,22083.840391263802,2313338.6621864284,3684745.1504839105,1371406.488297482
Bufflehead,Bucephala albeola,397.5,Aquatic predator,Aquatic,Wetland,446692.290609514,2174123.94421589,1727431.6536063761,177560185.5172818,864214267.8258163,686654082.3085345
Bullock's Oriole,Icterus bullockii,37.9,Invertivore,Insessorial,Western Forest,9222739.44039494,6833947.2132569,-2388792.2271380397,349541824.7909682,259006599.3824365,-90535225.40853167
Burrowing Owl,Athene cunicularia,150.6,Vertivore,Generalist,Grassland,1315556.39826815,1002110.50482803,-313445.8934401199,198122793.57918337,150917842.0271013,-47204951.55208206
Bushtit,Psaltriparus minimus,5.3,Invertivore,Insessorial,Western Forest,3149313.97915013,2269552.31317312,-879761.66597701,16691364.089495689,12028627.259817535,-4662736.829678154
Cackling Goose,Branta hutchinsii,1940.1,Herbivore terrestrial,Terrestrial,Arctic Tundra,421700.451852279,4566605.56271701,4144905.1108647315,818141046.6386064,8859671452.227272,8041530405.588666
Cactus Wren,Campylorhynchus brunneicapillus,38.9,Invertivore,Insessorial,Aridlands,7041373.53848127,2670408.297321,-4370965.24116027,273909430.6469214,103878882.7657869,-170030547.8811345
California Gull,Larus californicus,683.4,Omnivore,Terrestrial,Wetland,1947078.58392945,1170935.28392105,-776143.3000084001,1330633504.2573862,800217173.0316455,-530416331.2257407
California Quail,Callipepla californica,165.7,Omnivore,Terrestrial,Aridlands,2178352.87473065,3488151.08334366,1309798.2086130101,360953071.3428687,577986634.5100445,217033563.16717577
California Scrub-Jay,Aphelocoma californica,85.7,Omnivore,Terrestrial,Western Forest,1446909.32105041,1305995.50445949,-140913.81659091986,124000128.81402014,111923814.7321783,-12076314.081841841
California Thrasher,Toxostoma redivivum,84.4,Invertivore,Generalist,Aridlands,271305.210041371,146270.355095249,-125034.85494612201,22898159.727491714,12345217.970039016,-10552941.757452698
California Towhee,Melozone crissalis,52.8,Granivore,Generalist,Aridlands,6122901.04085612,5146831.6307747,-976069.4100814201,323289174.95720315,271752710.1049042,-51536464.852298975
Calliope Hummingbird,Selasphorus calliope,2.6,Nectarivore,Aerial,Western Forest,5375839.96618865,4518937.40988972,-856902.5562989293,13977183.91209049,11749237.265713273,-2227946.646377217
Canada Goose,Branta canadensis,3727.33,Herbivore terrestrial,Terrestrial,Wetland,965469.62745211,8833800.92519814,7868331.29774603,3598623906.491073,32926491202.51878,29327867296.027706
Canada Jay,Perisoreus canadensis,71.6,Omnivore,Insessorial,Boreal Forest,30121173.519556,26704253.9307098,-3416919.588846199,2156676024.0002093,1912024581.4388216,-244651442.56138778
Canada Warbler,Cardellina canadensis,10,Invertivore,Insessorial,Boreal Forest,6556913.77375094,2361985.68972451,-4194928.08402643,65569137.7375094,23619856.8972451,-41949280.8402643
Canvasback,Aythya valisineria,1202,Herbivore aquatic,Aquatic,Wetland,542537.746478099,761549.555881446,219011.80940334697,652130371.266675,915382566.1694981,263252194.9028231
Canyon Towhee,Melozone fusca,44.4,Granivore,Generalist,Aridlands,5441881.73175924,2619026.88842487,-2822854.84333437,241619548.89011025,116284793.84606422,-125334755.04404603
Canyon Wren,Catherpes mexicanus,12,Invertivore,Insessorial,Aridlands,427953.880806561,431968.095056429,4014.214249868004,5135446.569678731,5183617.140677148,48170.57099841628
Cape May Warbler,Setophaga tigrina,10,Invertivore,Insessorial,Boreal Forest,11231932.4020757,8183973.64784571,-3047958.7542299908,112319324.020757,81839736.4784571,-30479587.54229991
Carolina Chickadee,Poecile carolinensis,10,Invertivore,Insessorial,Eastern Forest,15574082.6288243,12518652.3029989,-3055430.325825399,155740826.288243,125186523.029989,-30554303.25825399
Carolina Wren,Thryothorus ludovicianus,19,Invertivore,Insessorial,Eastern Forest,12073176.655829,18303717.2906203,6230540.634791302,229390356.460751,347770628.52178574,118380272.06103474
Caspian Tern,Hydroprogne caspia,655,Aquatic predator,Aerial,Wetland,58355.3384731537,86492.5033802819,28137.164907128194,38222746.69991568,56652589.71408464,18429843.014168963
Cassin's Auklet,Ptychoramphus aleuticus,184,Aquatic predator,Aquatic,Coasts,4414142.19867736,3961434.46195894,-452707.73671841994,812202164.5566343,728903941.000445,-83298223.5561893
Cassin's Finch,Haemorhous cassinii,26.5,Granivore,Insessorial,Western Forest,7197939.02308581,3001105.16539268,-4196833.85769313,190745384.11177397,79529286.88290602,-111216097.22886795
Cassin's Kingbird,Tyrannus vociferans,45.6,Invertivore,Insessorial,Western Forest,2336429.91231931,2596711.16684189,260281.2545225802,106541204.00176054,118410029.2079902,11868825.206229657
Cassin's Sparrow,Peucaea cassinii,18.9,Invertivore,Generalist,Grassland,13500930.860595,9467617.96756959,-4033312.8930254113,255167593.2652455,178937979.58706522,-76229613.67818028
Cassin's Vireo,Vireo cassinii,14.7,Invertivore,Insessorial,Western Forest,2984687.1185680698,4696646.89394036,1711959.7753722905,43874900.642950624,69040709.3409233,25165808.69797267
Cattle Egret,Bubulcus ibis,366,Omnivore,Terrestrial,Wetland,4959554.16509723,2602898.11829701,-2356656.04680022,1815196824.4255862,952660711.2967057,-862536113.1288805
Cave Swallow,Petrochelidon fulva,19,Invertivore,Aerial,Aridlands,6999.13330098727,6895554.69156569,6888555.558264703,132983.53271875813,131015539.1397481,130882555.60702933
Cedar Waxwing,Bombycilla cedrorum,31.6,Frugivore,Insessorial,Forest Generalist,53406176.9344573,64356609.4438385,10950432.509381197,1687635191.128851,2033668858.4252968,346033667.29644585
Cerulean Warbler,Setophaga cerulea,9,Invertivore,Insessorial,Eastern Forest,1616044.36409006,455898.488477739,-1160145.8756123208,14544399.276810538,4103086.396299651,-10441312.880510887
Chestnut-backed Chickadee,Poecile rufescens,9.4,Invertivore,Insessorial,Western Forest,20781606.2367405,11145522.5594622,-9636083.677278299,195347098.6253607,104767912.05894469,-90579186.56641601
Chestnut-collared Longspur,Calcarius ornatus,20.3,Granivore,Terrestrial,Grassland,18788935.8547744,2450695.23956502,-16338240.61520938,381415397.85192037,49749113.36316991,-331666284.48875046
Chestnut-sided Warbler,Setophaga pensylvanica,9.3,Invertivore,Insessorial,Eastern Forest,29966851.2358087,17872236.9190913,-12094614.316717401,278691716.49302095,166211803.34754908,-112479913.14547187
Chihuahuan Raven,Corvus cryptoleucus,533.5,Omnivore,Terrestrial,Aridlands,310673.845717389,278081.871011994,-32591.974705394998,165744496.69022703,148356678.18489882,-17387818.50532821
