species,sci_name,mass,trophic_niche1,trophic_niche2
Dusky Flycatcher,Empidonax oberholseri,10.4,Invertivore,Insessorial
Dusky Grouse,Dendragapus obscurus,1047.3,Herbivore terrestrial,Generalist
Eared Grebe,Podiceps nigricollis,412.4,Aquatic predator,Aquatic
Eastern Bluebird,Sialia sialis,27.5,Invertivore,Insessorial
Eastern Kingbird,Tyrannus tyrannus,39.9,Invertivore,Insessorial
Eastern Meadowlark,Sturnella magna,91.8,Invertivore,Terrestrial
Eastern Phoebe,Sayornis phoebe,19.7,Invertivore,Insessorial
Eastern Screech-Owl,Megascops asio,180,Invertivore,Insessorial
Eastern Towhee,Pipilo erythrophthalmus,40,Omnivore,Generalist
Eastern Whip-poor-will,Antrostomus vociferus,53.3,Invertivore,Generalist
Eastern Wood-Pewee,Contopus virens,13.9,Invertivore,Insessorial
Emperor Goose,Anser canagicus,2136.5,Omnivore,Terrestrial
Eurasian Collared-Dove,Streptopelia decaocto,149,Omnivore,Terrestrial
Eurasian Tree Sparrow,Passer montanus,21.4,Granivore,Terrestrial
European Starling,Sturnus vulgaris,77.1,Omnivore,Insessorial
Evening Grosbeak,Coccothraustes vespertinus,57.3,Omnivore,Insessorial
Ferruginous Hawk,Buteo regalis,1437.2,Vertivore,Generalist
Field Sparrow,Spizella pusilla,12.5,Granivore,Generalist
Fish Crow,Corvus ossifragus,284.6,Omnivore,Terrestrial
Forster's Tern,Sterna forsteri,149,Aquatic predator,Aerial
Fox Sparrow,Passerella iliaca,33.3,Omnivore,Generalist
Franklin's Gull,Leucophaeus pipixcan,280,Omnivore,Generalist
Fulvous Whistling-Duck,Dendrocygna bicolor,756.4,Omnivore,Terrestrial
Gadwall,Mareca strepera,915.6,Herbivore aquatic,Aquatic
Gambel's Quail,Callipepla gambelii,166,Omnivore,Terrestrial
Gila Woodpecker,Melanerpes uropygialis,64.7,Omnivore,Insessorial
Gilded Flicker,Colaptes chrysoides,111,Invertivore,Terrestrial
Glaucous-winged Gull,Larus glaucescens,1056.5,Aquatic predator,Generalist
Glaucous Gull,Larus hyperboreus,1529,Omnivore,Generalist
Glossy Ibis,Plegadis falcinellus,626.6,Aquatic predator,Terrestrial
Golden-crowned Kinglet,Regulus satrapa,6.2,Invertivore,Insessorial
Golden-crowned Sparrow,Zonotrichia atricapilla,32,Omnivore,Generalist
Golden-fronted Woodpecker,Melanerpes aurifrons,80.8,Omnivore,Insessorial
Golden-winged Warbler,Vermivora chrysoptera,8.7,Invertivore,Insessorial
Golden Eagle,Aquila chrysaetos,4248,Vertivore,Aerial
Grace's Warbler,Setophaga graciae,8.1,Invertivore,Insessorial
Grasshopper Sparrow,Ammodramus savannarum,17.6,Invertivore,Generalist
Gray-cheeked Thrush,Catharus minimus,31.6,Invertivore,Terrestrial
Gray Catbird,Dumetella carolinensis,35.3,Invertivore,Insessorial
Gray Flycatcher,Empidonax wrightii,12.3,Invertivore,Insessorial
Gray Kingbird,Tyrannus dominicensis,46.5,Omnivore,Insessorial
Gray Partridge,Perdix perdix,405.3,Omnivore,Terrestrial
Gray Vireo,Vireo vicinior,12.8,Invertivore,Insessorial
Great-tailed Grackle,Quiscalus mexicanus,160.5,Omnivore,Terrestrial
Great Black-backed Gull,Larus marinus,1649.7,Omnivore,Terrestrial
Great Blue Heron,Ardea herodias,2523.4,Aquatic predator,Terrestrial
Great Crested Flycatcher,Myiarchus crinitus,32.1,Invertivore,Insessorial
Great Egret,Ardea alba,871.3,Aquatic predator,Terrestrial
Great Gray Owl,Strix nebulosa,1061.9,Vertivore,Insessorial
Great Horned Owl,Bubo virginianus,1354.5,Vertivore,Insessorial
Greater Prairie-Chicken,Tympanuchus cupido,870.1,Granivore,Terrestrial
Greater Roadrunner,Geococcyx californianus,376,Invertivore,Terrestrial
Greater Sage-Grouse,Centrocercus urophasianus,1902.5,Herbivore terrestrial,Terrestrial
Greater Scaup,Aythya marila,1005.4,Aquatic predator,Aquatic
Greater White-fronted Goose,Anser albifrons,2506.4,Herbivore terrestrial,Terrestrial
Greater Yellowlegs,Tringa melanoleuca,161.7,Aquatic predator,Terrestrial
Green-tailed Towhee,Pipilo chlorurus,29.4,Omnivore,Generalist
Green-winged Teal,Anas crecca,341.9,Herbivore aquatic,Aquatic
Green Heron,Butorides virescens,201.5,Aquatic predator,Terrestrial
Green Jay,Cyanocorax yncas,78.5,Omnivore,Insessorial
Groove-billed Ani,Crotophaga sulcirostris,82,Invertivore,Terrestrial
Gull-billed Tern,Gelochelidon nilotica,218.3,Omnivore,Aerial
Gyrfalcon,Falco rusticolus,1431.7,Vertivore,Aerial
Hairy Woodpecker,Dryobates villosus,62.7,Invertivore,Insessorial
Hammond's Flycatcher,Empidonax hammondii,10.4,Invertivore,Insessorial
Harlequin Duck,Histrionicus histrionicus,561.6,Aquatic predator,Aquatic
Harris's Hawk,Parabuteo unicinctus,850.3,Vertivore,Insessorial
Harris's Sparrow,Zonotrichia querula,35.5,Omnivore,Terrestrial
Henslow's Sparrow,Centronyx henslowii,12.8,Omnivore,Generalist
Hepatic Tanager,Piranga flava,37.7,Invertivore,Insessorial
Hermit Thrush,Catharus guttatus,30.1,Invertivore,Generalist
Hermit Warbler,Setophaga occidentalis,10.4,Invertivore,Insessorial
Herring Gull,Larus argentatus,1091,Aquatic predator,Generalist
Hoary Redpoll,Acanthis hornemanni,13.9,Granivore,Generalist
Hooded Merganser,Lophodytes cucullatus,613.8,Aquatic predator,Aquatic
Hooded Oriole,Icterus cucullatus,24.3,Omnivore,Insessorial
